cycle,nind,model,pop_init,crash_prop,ts,tl
1,100,2,200,0.5,200,100
11,100,2,200,0.5,200,100
21,100,2,200,0.5,200,100
31,100,2,200,0.5,200,100
41,100,2,200,0.5,200,100
51,100,2,200,0.5,200,100
61,100,2,200,0.5,200,100
71,100,2,200,0.5,200,100
81,100,2,200,0.5,200,100
91,100,2,200,0.5,200,100
101,100,2,200,0.5,200,100
111,100,2,200,0.5,200,100
121,100,2,200,0.5,200,100
131,100,2,200,0.5,200,100
141,100,2,200,0.5,200,100
151,100,2,200,0.5,200,100
161,100,2,200,0.5,200,100
171,100,2,200,0.5,200,100
181,100,2,200,0.5,200,100
191,100,2,200,0.5,200,100
201,100,2,200,0.5,200,100
211,100,2,200,0.5,200,100
221,100,2,200,0.5,200,100
231,100,2,200,0.5,200,100
241,100,2,200,0.5,200,100
251,100,2,200,0.5,200,100
261,100,2,200,0.5,200,100
271,100,2,200,0.5,200,100
281,100,2,200,0.5,200,100
291,100,2,200,0.5,200,100
301,100,2,200,0.5,200,100
311,100,2,200,0.5,200,100
321,100,2,200,0.5,200,100
331,100,2,200,0.5,200,100
341,100,2,200,0.5,200,100
351,100,2,200,0.5,200,100
361,100,2,200,0.5,200,100
371,100,2,200,0.5,200,100
381,100,2,200,0.5,200,100
391,100,2,200,0.5,200,100
401,100,2,200,0.5,200,100
411,100,2,200,0.5,200,100
421,100,2,200,0.5,200,100
431,100,2,200,0.5,200,100
441,100,2,200,0.5,200,100
451,100,2,200,0.5,200,100
461,100,2,200,0.5,200,100
471,100,2,200,0.5,200,100
481,100,2,200,0.5,200,100
491,100,2,200,0.5,200,100
501,100,2,200,0.5,200,100
511,100,2,200,0.5,200,100
521,100,2,200,0.5,200,100
531,100,2,200,0.5,200,100
541,100,2,200,0.5,200,100
551,100,2,200,0.5,200,100
561,100,2,200,0.5,200,100
571,100,2,200,0.5,200,100
581,100,2,200,0.5,200,100
591,100,2,200,0.5,200,100
601,100,2,200,0.5,200,100
611,100,2,200,0.5,200,100
621,100,2,200,0.5,200,100
631,100,2,200,0.5,200,100
641,100,2,200,0.5,200,100
651,100,2,200,0.5,200,100
661,100,2,200,0.5,200,100
671,100,2,200,0.5,200,100
681,100,2,200,0.5,200,100
691,100,2,200,0.5,200,100
701,100,2,200,0.5,200,100
711,100,2,200,0.5,200,100
721,100,2,200,0.5,200,100
731,100,2,200,0.5,200,100
741,100,2,200,0.5,200,100
751,100,2,200,0.5,200,100
761,100,2,200,0.5,200,100
771,100,2,200,0.5,200,100
781,100,2,200,0.5,200,100
791,100,2,200,0.5,200,100
801,100,2,200,0.5,200,100
811,100,2,200,0.5,200,100
821,100,2,200,0.5,200,100
831,100,2,200,0.5,200,100
841,100,2,200,0.5,200,100
851,100,2,200,0.5,200,100
861,100,2,200,0.5,200,100
871,100,2,200,0.5,200,100
881,100,2,200,0.5,200,100
891,100,2,200,0.5,200,100
901,100,2,200,0.5,200,100
911,100,2,200,0.5,200,100
921,100,2,200,0.5,200,100
931,100,2,200,0.5,200,100
941,100,2,200,0.5,200,100
951,100,2,200,0.5,200,100
961,100,2,200,0.5,200,100
971,100,2,200,0.5,200,100
981,100,2,200,0.5,200,100
991,100,2,200,0.5,200,100
1001,100,2,200,0.5,200,100
1011,107,2,200,0.5,200,100
1021,115,2,200,0.5,200,100
1031,123,2,200,0.5,200,100
1041,132,2,200,0.5,200,100
1051,141,2,200,0.5,200,100
1061,152,2,200,0.5,200,100
1071,162,2,200,0.5,200,100
1081,174,2,200,0.5,200,100
1091,187,2,200,0.5,200,100
1101,200,2,200,0.5,200,100
1111,200,2,200,0.5,200,100
1121,200,2,200,0.5,200,100
1131,200,2,200,0.5,200,100
1141,200,2,200,0.5,200,100
1151,200,2,200,0.5,200,100
1161,200,2,200,0.5,200,100
1171,200,2,200,0.5,200,100
1181,200,2,200,0.5,200,100
1191,200,2,200,0.5,200,100
