cycle,nind,model,pop_init,crash_prop,ts,tl,ss
1,500,3,500,0.5,200,100,30
11,500,3,500,0.5,200,100,30
21,500,3,500,0.5,200,100,30
31,500,3,500,0.5,200,100,30
41,500,3,500,0.5,200,100,30
51,500,3,500,0.5,200,100,30
61,500,3,500,0.5,200,100,30
71,500,3,500,0.5,200,100,30
81,500,3,500,0.5,200,100,30
91,500,3,500,0.5,200,100,30
101,500,3,500,0.5,200,100,30
111,500,3,500,0.5,200,100,30
121,500,3,500,0.5,200,100,30
131,500,3,500,0.5,200,100,30
141,500,3,500,0.5,200,100,30
151,500,3,500,0.5,200,100,30
161,500,3,500,0.5,200,100,30
171,500,3,500,0.5,200,100,30
181,500,3,500,0.5,200,100,30
191,500,3,500,0.5,200,100,30
201,500,3,500,0.5,200,100,30
211,500,3,500,0.5,200,100,30
221,500,3,500,0.5,200,100,30
231,500,3,500,0.5,200,100,30
241,500,3,500,0.5,200,100,30
251,500,3,500,0.5,200,100,30
261,500,3,500,0.5,200,100,30
271,500,3,500,0.5,200,100,30
281,500,3,500,0.5,200,100,30
291,500,3,500,0.5,200,100,30
301,500,3,500,0.5,200,100,30
311,500,3,500,0.5,200,100,30
321,500,3,500,0.5,200,100,30
331,500,3,500,0.5,200,100,30
341,500,3,500,0.5,200,100,30
351,500,3,500,0.5,200,100,30
361,500,3,500,0.5,200,100,30
371,500,3,500,0.5,200,100,30
381,500,3,500,0.5,200,100,30
391,500,3,500,0.5,200,100,30
401,500,3,500,0.5,200,100,30
411,500,3,500,0.5,200,100,30
421,500,3,500,0.5,200,100,30
431,500,3,500,0.5,200,100,30
441,500,3,500,0.5,200,100,30
451,500,3,500,0.5,200,100,30
461,500,3,500,0.5,200,100,30
471,500,3,500,0.5,200,100,30
481,500,3,500,0.5,200,100,30
491,500,3,500,0.5,200,100,30
501,500,3,500,0.5,200,100,30
511,500,3,500,0.5,200,100,30
521,500,3,500,0.5,200,100,30
531,500,3,500,0.5,200,100,30
541,500,3,500,0.5,200,100,30
551,500,3,500,0.5,200,100,30
561,500,3,500,0.5,200,100,30
571,500,3,500,0.5,200,100,30
581,500,3,500,0.5,200,100,30
591,500,3,500,0.5,200,100,30
601,500,3,500,0.5,200,100,30
611,500,3,500,0.5,200,100,30
621,500,3,500,0.5,200,100,30
631,500,3,500,0.5,200,100,30
641,500,3,500,0.5,200,100,30
651,500,3,500,0.5,200,100,30
661,500,3,500,0.5,200,100,30
671,500,3,500,0.5,200,100,30
681,500,3,500,0.5,200,100,30
691,500,3,500,0.5,200,100,30
701,500,3,500,0.5,200,100,30
711,500,3,500,0.5,200,100,30
721,500,3,500,0.5,200,100,30
731,500,3,500,0.5,200,100,30
741,500,3,500,0.5,200,100,30
751,500,3,500,0.5,200,100,30
761,500,3,500,0.5,200,100,30
771,500,3,500,0.5,200,100,30
781,500,3,500,0.5,200,100,30
791,500,3,500,0.5,200,100,30
801,500,3,500,0.5,200,100,30
811,500,3,500,0.5,200,100,30
821,500,3,500,0.5,200,100,30
831,500,3,500,0.5,200,100,30
841,500,3,500,0.5,200,100,30
851,500,3,500,0.5,200,100,30
861,500,3,500,0.5,200,100,30
871,500,3,500,0.5,200,100,30
881,500,3,500,0.5,200,100,30
891,500,3,500,0.5,200,100,30
901,500,3,500,0.5,200,100,30
911,500,3,500,0.5,200,100,30
921,500,3,500,0.5,200,100,30
931,500,3,500,0.5,200,100,30
941,500,3,500,0.5,200,100,30
951,500,3,500,0.5,200,100,30
961,500,3,500,0.5,200,100,30
971,500,3,500,0.5,200,100,30
981,500,3,500,0.5,200,100,30
991,500,3,500,0.5,200,100,30
1001,500,3,500,0.5,200,100,30
1011,252,3,500,0.5,200,100,30
1021,450,3,500,0.5,200,100,30
1031,498,3,500,0.5,200,100,30
1041,499,3,500,0.5,200,100,30
1051,500,3,500,0.5,200,100,30
1061,500,3,500,0.5,200,100,30
1071,500,3,500,0.5,200,100,30
1081,500,3,500,0.5,200,100,30
1091,500,3,500,0.5,200,100,30
1101,500,3,500,0.5,200,100,30
1111,500,3,500,0.5,200,100,30
1121,500,3,500,0.5,200,100,30
1131,500,3,500,0.5,200,100,30
1141,500,3,500,0.5,200,100,30
1151,500,3,500,0.5,200,100,30
1161,500,3,500,0.5,200,100,30
1171,500,3,500,0.5,200,100,30
1181,500,3,500,0.5,200,100,30
1191,500,3,500,0.5,200,100,30
