"","rep","pop_init","crash_prop","tl","ts","ss","model","runnumb","filename"
"1",1,1000,0.5,100,200,100,"decline","Run_00001","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modeldecline_ss100_runnum:_Run_00001_test22_11.vcf"
"2",1,500,0.5,100,200,100,"decline","Run_00002","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modeldecline_ss100_runnum:_Run_00002_test22_11.vcf"
"3",1,1000,0.5,100,200,75,"decline","Run_00003","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modeldecline_ss75_runnum:_Run_00003_test22_11.vcf"
"4",1,500,0.5,100,200,75,"decline","Run_00004","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modeldecline_ss75_runnum:_Run_00004_test22_11.vcf"
"5",1,1000,0.5,100,200,100,"expansion","Run_00005","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modelexpansion_ss100_runnum:_Run_00005_test22_11.vcf"
"6",1,500,0.5,100,200,100,"expansion","Run_00006","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelexpansion_ss100_runnum:_Run_00006_test22_11.vcf"
"7",1,1000,0.5,100,200,75,"expansion","Run_00007","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modelexpansion_ss75_runnum:_Run_00007_test22_11.vcf"
"8",1,500,0.5,100,200,75,"expansion","Run_00008","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelexpansion_ss75_runnum:_Run_00008_test22_11.vcf"
"9",1,1000,0.5,100,200,100,"bottle","Run_00009","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modelbottle_ss100_runnum:_Run_00009_test22_11.vcf"
"10",1,500,0.5,100,200,100,"bottle","Run_00010","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelbottle_ss100_runnum:_Run_00010_test22_11.vcf"
"11",1,1000,0.5,100,200,75,"bottle","Run_00011","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modelbottle_ss75_runnum:_Run_00011_test22_11.vcf"
"12",1,500,0.5,100,200,75,"bottle","Run_00012","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelbottle_ss75_runnum:_Run_00012_test22_11.vcf"
"13",1,1000,0.5,100,200,100,"stable","Run_00013","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modelstable_ss100_runnum:_Run_00013_test22_11.vcf"
"14",1,500,0.5,100,200,100,"stable","Run_00014","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelstable_ss100_runnum:_Run_00014_test22_11.vcf"
"15",1,1000,0.5,100,200,75,"stable","Run_00015","c:/temp/slim_rep1_pop1000_tl100_crash0.5_ts-ybp200_modelstable_ss75_runnum:_Run_00015_test22_11.vcf"
"16",1,500,0.5,100,200,75,"stable","Run_00016","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelstable_ss75_runnum:_Run_00016_test22_11.vcf"
