rep,pop_init,crash_prop,tl,ts,ss,model,filename,minbin,breakpoints,loci,mutation_per_site,n_estimation,theta_per_site_median,theta_per_site_2.5.,theta_per_site_97.5.,year,Ne_median,Ne_2.5.,Ne_97.5.,Ne_12.5.,Ne_87.5.
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,1e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.1,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,1.0572079253138806e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.10572079253138805,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,2.1700583730127025e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.21700583730127024,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,2.1700583730127025e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.21700583730127024,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,3.3430628989655146e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.3343062898965515,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,3.3430628989655146e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.3343062898965515,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,3.786531268989795e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.3786531268989795,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,3.786531268989795e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.3786531268989795,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,4.079260961963416e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.40792609619634157,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,4.079260961963416e-9,30,7.70430859375e-6,1.649244384765625e-6,3.0502583984375e-5,0.40792609619634157,192.60771484375,41.231109619140625,762.564599609375,164.7748779296875,574.565673828125
